,city_name,country,lat,humidity,temp,cloudiness,wind_speed
0,Husavik,IS,66.04,92,-3.98,89,1.0
1,Ushuaia,AR,-54.8,43,9.3,75,2.6
2,Jamestown,US,42.1,93,10.31,90,7.7
3,Bonthe,SL,7.53,88,29.33,100,2.94
4,Olhão,PT,37.03,93,18.5,75,2.6
5,Port-Gentil,GA,-0.72,83,27.86,63,4.74
6,Saldanha,ZA,-33.01,82,9.83,0,4.6
7,Bud,US,39.45,82,15.45,90,1.5
8,Ribeira Grande,PT,38.52,59,15.29,75,2.1
9,Dingle,PH,11.0,90,27.76,100,2.86
10,Uusikaupunki,FI,60.8,93,7.94,90,2.6
11,Kruisfontein,ZA,-34.0,76,13.55,0,0.45
12,Virovitica,HR,45.83,83,6.03,95,4.76
13,Hermanus,ZA,-34.42,91,9.17,0,2.72
14,Ardea,IT,41.61,87,14.18,5,1.0
15,George Town,MY,5.41,88,30.71,40,1.5
16,Cape Town,ZA,-33.93,82,9.75,0,7.2
17,Arraial do Cabo,BR,-22.97,74,24.44,20,8.2
18,Lüderitz,NA,-26.65,61,11.4,0,7.68
19,Middelburg,ZA,-25.78,57,14.8,0,4.13
20,Olafsvik,IS,64.89,93,-5.5,100,12.35
21,Oussouye,SN,12.48,74,34.86,20,2.1
22,São José da Coroa Grande,BR,-8.9,79,27.84,1,4.2
23,Bredasdorp,ZA,-34.53,93,11.95,0,0.5
24,Faya,SA,18.39,17,12.82,0,4.1
25,Mumford,GH,5.26,88,28.23,48,5.2
26,Jørpeland,NO,59.02,93,10.94,75,2.1
27,Cidreira,BR,-30.18,88,17.14,99,6.78
28,Ljungby,SE,56.83,100,7.95,100,4.6
29,Camacha,PT,33.08,63,15.57,40,5.7
30,Senno,RU,59.53,92,-4.6,59,2.6
31,Skagen,DK,57.72,94,7.18,100,8.05
32,Ulfborg,DK,56.27,73,8.89,100,4.92
33,Kokkola,FI,63.84,93,-2.91,90,4.6
34,Port Elizabeth,ZA,-33.92,88,16.44,0,3.1
35,Longyearbyen,SJ,78.22,78,-13.66,20,3.6
36,Lyuban',BY,52.8,87,4.9,99,2.16
37,Danielskuil,ZA,-28.19,28,14.56,37,0.85
38,Aljezur,PT,37.32,100,16.88,0,1.8
39,Gravdal,NO,68.12,59,-1.7,75,3.1
40,Mehamn,NO,71.04,80,-5.96,40,6.7
41,Conil,FR,44.97,83,5.17,100,6.79
42,Otavi,NA,-19.65,18,20.25,78,3.01
43,Klaksvík,FO,62.23,86,0.45,57,1.0
44,Praia da Vitória,PT,38.73,67,10.93,75,8.38
45,Goderich,CA,43.75,77,6.65,90,7.35
46,Røros,NO,62.57,90,-2.1,100,1.5
47,Gamba,GA,-2.65,88,27.78,100,3.26
48,Nālūt,LY,30.33,39,17.45,0,5.49
49,Kemijärvi,FI,66.71,97,-7.62,100,3.3
50,Harper,LR,4.38,86,28.64,100,3.23
51,Sørland,NO,67.67,59,-1.7,75,3.1
52,Taoudenni,ML,22.68,14,24.8,65,3.97
53,Calvinia,ZA,-31.47,22,14.52,0,1.44
54,Gwanda,ZW,-20.93,67,18.3,0,4.23
55,Lucapa,AO,-8.42,92,22.39,31,1.07
56,Kabare,CD,-2.47,81,17.44,39,0.51
57,Chui,UY,-33.7,69,11.44,39,6.77
58,Bubaque,GW,11.28,81,30.36,94,5.08
59,Los Llanos de Aridane,ES,28.66,68,17.34,40,2.6
60,Mazyr,BY,52.05,80,5.32,100,2.81
61,Mimongo,GA,-1.62,93,24.07,98,1.03
62,Lagoa,PT,39.05,68,11.44,0,9.08
63,Moussoro,TD,13.64,11,26.65,7,5.11
64,Grootfontein,NA,-19.57,20,18.37,6,2.26
65,Assiut,EG,27.18,39,25.98,0,4.1
